Id;Host;AppName;EventName;EventLevelId;StatusId;StartTime;EndTime;Message;ParentEventId;EventCount
15336;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:28.0666667;2021-08-02 16:38:28.2866667;Completed Refresh.PropertyType.Chart;15329;0
15337;HostCPTDEV01;App.SQL Processing;Refresh.Located.Chart;2;2;2021-08-02 16:38:28.2933333;2021-08-02 16:38:28.3100000;Completed Refresh.Located.Chart;15329;0
15338;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Transfers;2;2;2021-08-02 16:38:28.3133333;2021-08-02 16:38:28.5366667;Completed Refresh.Notifications.Transfers;15329;0
15339;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Subdivisions;2;2;2021-08-02 16:38:28.5366667;2021-08-02 16:38:28.5533333;Completed Refresh.Notifications.Subdivisions;15329;0
15340;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Consolidations;2;2;2021-08-02 16:38:28.5566667;2021-08-02 16:38:28.5700000;Completed Refresh.Notifications.Consolidations;15329;0
15341;HostCPTDEV01;App.SQL Processing;AreaOfInterest.Process.CurrentArea;2;2;2021-08-02 16:38:28.5833333;2021-08-02 16:38:31.0333333;Completed AreaOfInterest.Process.CurrentArea Area of Interest 540;15040;11
15342;HostCPTDEV01;App.SQL Processing;Delete.Moved.Properties;2;2;2021-08-02 16:38:28.5866667;2021-08-02 16:38:28.6433333;Completed Delete.Moved.Properties;15341;0
15343;HostCPTDEV01;App.SQL Processing;Update.AOI.Ward;2;2;2021-08-02 16:38:28.6466667;2021-08-02 16:38:28.8466667;Completed Update.AOI.Ward;15341;0
15344;HostCPTDEV01;App.SQL Processing;Update.AOI.Suburb;2;2;2021-08-02 16:38:28.8500000;2021-08-02 16:38:28.9000000;Completed Update.AOI.Suburb;15341;0
15345;HostCPTDEV01;App.SQL Processing;Update.AOI.LocalMunicipality;2;2;2021-08-02 16:38:28.9033333;2021-08-02 16:38:28.9900000;Completed Update.AOI.LocalMunicipality;15341;0
15346;HostCPTDEV01;App.SQL Processing;Update.AOI.Property;2;2;2021-08-02 16:38:28.9933333;2021-08-02 16:38:30.2833333;Completed Update.AOI.Property;15341;0
15347;HostCPTDEV01;App.SQL Processing;Refresh.Township.Chart;2;2;2021-08-02 16:38:30.2866667;2021-08-02 16:38:30.5300000;Completed Refresh.Township.Chart;15341;0
15348;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:30.5366667;2021-08-02 16:38:30.7766667;Completed Refresh.PropertyType.Chart;15341;0
15349;HostCPTDEV01;App.SQL Processing;Refresh.Located.Chart;2;2;2021-08-02 16:38:30.7800000;2021-08-02 16:38:30.8000000;Completed Refresh.Located.Chart;15341;0
15350;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Transfers;2;2;2021-08-02 16:38:30.8033333;2021-08-02 16:38:30.9833333;Completed Refresh.Notifications.Transfers;15341;0
15351;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Subdivisions;2;2;2021-08-02 16:38:30.9866667;2021-08-02 16:38:31.0066667;Completed Refresh.Notifications.Subdivisions;15341;0
15352;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Consolidations;2;2;2021-08-02 16:38:31.0100000;2021-08-02 16:38:31.0266667;Completed Refresh.Notifications.Consolidations;15341;0
15353;HostCPTDEV01;App.SQL Processing;AreaOfInterest.Process.CurrentArea;2;2;2021-08-02 16:38:31.0400000;2021-08-02 16:38:39.6233333;Completed AreaOfInterest.Process.CurrentArea Area of Interest 541;15040;11
15354;HostCPTDEV01;App.SQL Processing;Delete.Moved.Properties;2;2;2021-08-02 16:38:31.0433333;2021-08-02 16:38:31.2700000;Completed Delete.Moved.Properties;15353;0
15355;HostCPTDEV01;App.SQL Processing;Update.AOI.Ward;2;2;2021-08-02 16:38:31.2766667;2021-08-02 16:38:31.4966667;Completed Update.AOI.Ward;15353;0
15356;HostCPTDEV01;App.SQL Processing;Update.AOI.Suburb;2;2;2021-08-02 16:38:31.5000000;2021-08-02 16:38:31.9800000;Completed Update.AOI.Suburb;15353;0
15357;HostCPTDEV01;App.SQL Processing;Update.AOI.LocalMunicipality;2;2;2021-08-02 16:38:31.9833333;2021-08-02 16:38:33.7166667;Completed Update.AOI.LocalMunicipality;15353;0
15358;HostCPTDEV01;App.SQL Processing;Update.AOI.Property;2;2;2021-08-02 16:38:33.7233333;2021-08-02 16:38:35.9800000;Completed Update.AOI.Property;15353;0
15359;HostCPTDEV01;App.SQL Processing;Refresh.Township.Chart;2;2;2021-08-02 16:38:35.9833333;2021-08-02 16:38:36.8833333;Completed Refresh.Township.Chart;15353;0
15360;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:36.8866667;2021-08-02 16:38:37.7000000;Completed Refresh.PropertyType.Chart;15353;0
15361;HostCPTDEV01;App.SQL Processing;Refresh.Located.Chart;2;2;2021-08-02 16:38:37.7000000;2021-08-02 16:38:37.8566667;Completed Refresh.Located.Chart;15353;0
15362;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Transfers;2;2;2021-08-02 16:38:37.8600000;2021-08-02 16:38:38.6233333;Completed Refresh.Notifications.Transfers;15353;0
15363;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Subdivisions;2;2;2021-08-02 16:38:38.6266667;2021-08-02 16:38:39.5466667;Completed Refresh.Notifications.Subdivisions;15353;0
15364;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Consolidations;2;2;2021-08-02 16:38:39.5500000;2021-08-02 16:38:39.6200000;Completed Refresh.Notifications.Consolidations;15353;0
15365;HostCPTDEV01;App.SQL Processing;AreaOfInterest.Process.CurrentArea;2;2;2021-08-02 16:38:39.6266667;2021-08-02 16:38:47.0066667;Completed AreaOfInterest.Process.CurrentArea Area of Interest 546;15040;11
15366;HostCPTDEV01;App.SQL Processing;Delete.Moved.Properties;2;2;2021-08-02 16:38:39.6300000;2021-08-02 16:38:39.8466667;Completed Delete.Moved.Properties;15365;0
15367;HostCPTDEV01;App.SQL Processing;Update.AOI.Ward;2;2;2021-08-02 16:38:39.8500000;2021-08-02 16:38:40.0733333;Completed Update.AOI.Ward;15365;0
15368;HostCPTDEV01;App.SQL Processing;Update.AOI.Suburb;2;2;2021-08-02 16:38:40.0766667;2021-08-02 16:38:40.5366667;Completed Update.AOI.Suburb;15365;0
15369;HostCPTDEV01;App.SQL Processing;Update.AOI.LocalMunicipality;2;2;2021-08-02 16:38:40.5400000;2021-08-02 16:38:42.2633333;Completed Update.AOI.LocalMunicipality;15365;0
15370;HostCPTDEV01;App.SQL Processing;Update.AOI.Property;2;2;2021-08-02 16:38:42.2700000;2021-08-02 16:38:44.4966667;Completed Update.AOI.Property;15365;0
15371;HostCPTDEV01;App.SQL Processing;Refresh.Township.Chart;2;2;2021-08-02 16:38:44.5000000;2021-08-02 16:38:45.2600000;Completed Refresh.Township.Chart;15365;0
15372;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:45.2666667;2021-08-02 16:38:45.7400000;Completed Refresh.PropertyType.Chart;15365;0
15373;HostCPTDEV01;App.SQL Processing;Refresh.Located.Chart;2;2;2021-08-02 16:38:45.7466667;2021-08-02 16:38:45.9000000;Completed Refresh.Located.Chart;15365;0
15374;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Transfers;2;2;2021-08-02 16:38:45.9000000;2021-08-02 16:38:46.6133333;Completed Refresh.Notifications.Transfers;15365;0
15375;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Subdivisions;2;2;2021-08-02 16:38:46.6166667;2021-08-02 16:38:46.9266667;Completed Refresh.Notifications.Subdivisions;15365;0
15376;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Consolidations;2;2;2021-08-02 16:38:46.9333333;2021-08-02 16:38:46.9966667;Completed Refresh.Notifications.Consolidations;15365;0
15377;HostCPTDEV01;App.SQL Processing;AreaOfInterest.Process.CurrentArea;2;2;2021-08-02 16:38:47.0100000;2021-08-02 16:38:49.5200000;Completed AreaOfInterest.Process.CurrentArea Area of Interest 547;15040;11
15378;HostCPTDEV01;App.SQL Processing;Delete.Moved.Properties;2;2;2021-08-02 16:38:47.0166667;2021-08-02 16:38:47.1100000;Completed Delete.Moved.Properties;15377;0
15379;HostCPTDEV01;App.SQL Processing;Update.AOI.Ward;2;2;2021-08-02 16:38:47.1100000;2021-08-02 16:38:47.3200000;Completed Update.AOI.Ward;15377;0
15380;HostCPTDEV01;App.SQL Processing;Update.AOI.Suburb;2;2;2021-08-02 16:38:47.3233333;2021-08-02 16:38:47.3866667;Completed Update.AOI.Suburb;15377;0
15381;HostCPTDEV01;App.SQL Processing;Update.AOI.LocalMunicipality;2;2;2021-08-02 16:38:47.3900000;2021-08-02 16:38:47.4633333;Completed Update.AOI.LocalMunicipality;15377;0
15382;HostCPTDEV01;App.SQL Processing;Update.AOI.Property;2;2;2021-08-02 16:38:47.4666667;2021-08-02 16:38:48.7800000;Completed Update.AOI.Property;15377;0
15383;HostCPTDEV01;App.SQL Processing;Refresh.Township.Chart;2;2;2021-08-02 16:38:48.7833333;2021-08-02 16:38:49.0300000;Completed Refresh.Township.Chart;15377;0
15384;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:49.0333333;2021-08-02 16:38:49.2400000;Completed Refresh.PropertyType.Chart;15377;0
